URL,#_of_valid_wiki_pages_linked,#_of_supported_languages,word_count
1890_Major_League_Baseball_season,503,3,2803
1891_Major_League_Baseball_season,379,3,2231
1892_Major_League_Baseball_season,318,3,2210
1893_Major_League_Baseball_season,254,2,1759
1894_Major_League_Baseball_season,253,2,1704
1895_Major_League_Baseball_season,262,2,1773
1896_Major_League_Baseball_season,253,2,1598
1897_Major_League_Baseball_season,258,2,1727
1898_Major_League_Baseball_season,242,2,1520
1899_Major_League_Baseball_season,247,2,1809
1900_Major_League_Baseball_season,228,2,1510
1901_Major_League_Baseball_season,299,8,2202
1902_Major_League_Baseball_season,283,8,1889
1903_Major_League_Baseball_season,291,7,2399
1904_Major_League_Baseball_season,274,6,1950
1905_Major_League_Baseball_season,289,6,1991
1906_Major_League_Baseball_season,285,7,2117
1907_Major_League_Baseball_season,273,7,1947
1908_Major_League_Baseball_season,295,7,2918
1909_Major_League_Baseball_season,272,7,2220
1910_Major_League_Baseball_season,276,7,2124
1911_Major_League_Baseball_season,272,6,2090
1912_Major_League_Baseball_season,282,5,1985
1913_Major_League_Baseball_season,277,5,2130
1914_Major_League_Baseball_season,371,5,2636
1915_Major_League_Baseball_season,376,5,2678
1916_Major_League_Baseball_season,273,5,2042
1917_Major_League_Baseball_season,252,5,1847
1918_Major_League_Baseball_season,266,5,2197
1919_Major_League_Baseball_season,294,5,3282
1920_Major_League_Baseball_season,297,5,3221
1921_Major_League_Baseball_season,264,6,2110
1922_Major_League_Baseball_season,259,6,2056
1923_Major_League_Baseball_season,264,4,2176
1924_Major_League_Baseball_season,285,6,2051
1925_Major_League_Baseball_season,288,5,2056
1926_Major_League_Baseball_season,280,5,2112
1927_Major_League_Baseball_season,293,5,2153
1928_Major_League_Baseball_season,285,5,2045
1929_Major_League_Baseball_season,293,5,2584
1930_Major_League_Baseball_season,283,5,2144
1931_Major_League_Baseball_season,286,5,2423
1932_Major_League_Baseball_season,288,5,2063
1933_Major_League_Baseball_season,295,5,2243
1934_Major_League_Baseball_season,300,5,2332
1935_Major_League_Baseball_season,286,5,2332
1936_Major_League_Baseball_season,273,5,2200
1937_Major_League_Baseball_season,303,5,2162
1938_Major_League_Baseball_season,310,5,2172
1939_Major_League_Baseball_season,338,5,3372
1940_Major_League_Baseball_season,296,5,2421
1941_Major_League_Baseball_season,274,5,2272
1942_Major_League_Baseball_season,275,5,2245
1943_Major_League_Baseball_season,283,5,2239
1944_Major_League_Baseball_season,279,5,2157
1945_Major_League_Baseball_season,296,5,2515
Post-war,80,21,1533
1946_Major_League_Baseball_season,297,5,2483
1947_Major_League_Baseball_season,302,7,3001
1948_Major_League_Baseball_season,285,6,2342
1949_Major_League_Baseball_season,401,6,6157
1950_Major_League_Baseball_season,296,6,2542
1951_Major_League_Baseball_season,311,6,2936
1952_Major_League_Baseball_season,285,6,2452
1953_Major_League_Baseball_season,290,6,2664
1954_Major_League_Baseball_season,281,6,2656
1955_Major_League_Baseball_season,284,7,2352
1956_Major_League_Baseball_season,288,7,2844
1957_Major_League_Baseball_season,329,5,3507
1959_Major_League_Baseball_season,324,6,2930
1960_Major_League_Baseball_season,655,5,8388
1961_Major_League_Baseball_season,381,5,4083
1962_Major_League_Baseball_season,326,5,2832
1963_Major_League_Baseball_season,490,6,5101
1964_Major_League_Baseball_season,443,6,4816
1965_Major_League_Baseball_season,402,6,4460
1966_Major_League_Baseball_season,394,6,3972
1967_Major_League_Baseball_season,324,6,3102
1968_Major_League_Baseball_season,323,6,2841
1969_Major_League_Baseball_season,455,6,5282
1970_Major_League_Baseball_season,489,6,5013
1971_Major_League_Baseball_season,450,6,4826
1972_Major_League_Baseball_season,619,6,7276
1973_Major_League_Baseball_season,244,6,2330
1974_Major_League_Baseball_season,232,6,2237
1975_Major_League_Baseball_season,226,6,2262
1976_Major_League_Baseball_season,250,6,3110
1977_Major_League_Baseball_season,363,6,4271
1978_Major_League_Baseball_season,398,6,4622
1979_Major_League_Baseball_season,320,6,3998
1980_Major_League_Baseball_season,389,7,4645
1981_Major_League_Baseball_season,457,7,5029
1982_Major_League_Baseball_season,301,6,2187
1983_Major_League_Baseball_season,321,7,2559
1984_Major_League_Baseball_season,307,6,2294
1985_Major_League_Baseball_season,410,6,3363
1986_Major_League_Baseball_season,329,6,2476
1987_Major_League_Baseball_season,351,6,3146
1988_Major_League_Baseball_season,386,9,4381
1989_Major_League_Baseball_season,397,7,4278
1990_Major_League_Baseball_season,356,7,3559
1991_Major_League_Baseball_season,441,7,4817
1992_Major_League_Baseball_season,362,7,3683
1993_Major_League_Baseball_season,299,8,2538
Major_League_Baseball_Wild_Card#One_wild_card_per_league_(1994–2011),57,1,2090
1994_Major_League_Baseball_season,334,8,3929
1995_Major_League_Baseball_season,458,9,4839
1996_Major_League_Baseball_season,398,8,3882
1997_Major_League_Baseball_season,431,9,4600
1998_Major_League_Baseball_season,524,9,7153
1999_Major_League_Baseball_season,498,9,6843
2000_Major_League_Baseball_season,564,9,9105
2001_Major_League_Baseball_season,324,10,2796
2002_Major_League_Baseball_season,295,10,2781
2003_Major_League_Baseball_season,361,11,2910
2004_Major_League_Baseball_season,324,11,2761
2005_Major_League_Baseball_season,324,12,3167
2006_Major_League_Baseball_season,421,12,3523
2007_Major_League_Baseball_season,536,12,7895
2008_Major_League_Baseball_season,624,12,10656
2009_Major_League_Baseball_season,545,12,7801
2010_Major_League_Baseball_season,627,13,12102
2011_Major_League_Baseball_season,664,13,13655
Major_League_Baseball_Wild_Card#Two_wild_cards_per_league_(2012–present),57,1,2090
2012_Major_League_Baseball_season,638,13,13735
2013_Major_League_Baseball_season,634,12,15568
2014_Major_League_Baseball_season,615,11,12603
2015_Major_League_Baseball_season,661,11,12722
2016_Major_League_Baseball_season,853,11,14180
2017_Major_League_Baseball_season,732,12,12549
2018_Major_League_Baseball_season,650,13,12082
2019_Major_League_Baseball_season,777,12,16396
2020_Major_League_Baseball_season,690,12,17766
2021_Major_League_Baseball_season,805,11,19426
2022_Major_League_Baseball_season,735,12,15757
Pitch_clock,235,2,2111
Baseball_statistics,575,8,5118
List_of_Major_League_Baseball_single-game_records,250,1,2989
List_of_Major_League_Baseball_single-season_records,374,1,2441
List_of_Major_League_Baseball_record_breakers_by_season,157,1,1778
List_of_Major_League_Baseball_records_considered_unbreakable,385,2,13704
List_of_Major_League_Baseball_titles_leaders,428,1,3145
List_of_Major_League_Baseball_career_batting_average_leaders,232,2,1565
List_of_Major_League_Baseball_career_hits_leaders,409,2,2040
3000-hit_club,224,8,3650
List_of_Major_League_Baseball_progressive_career_hits_leaders,888,1,2055
List_of_Major_League_Baseball_career_at_bat_leaders,226,2,1318
List_of_Major_League_Baseball_career_singles_leaders,223,1,1262
List_of_Major_League_Baseball_career_doubles_leaders,212,3,1330
List_of_Major_League_Baseball_career_triples_leaders,633,2,5605
List_of_Major_League_Baseball_career_home_run_leaders,413,4,2058
500_home_run_club,198,11,2680
600_home_run_club,174,1,2630
List_of_Major_League_Baseball_progressive_career_home_runs_leaders,1112,1,5147
List_of_Major_League_Baseball_leaders_in_home_runs_by_pitchers,226,1,2819
List_of_Major_League_Baseball_career_extra_base_hits_leaders,201,1,1208
List_of_Major_League_Baseball_career_runs_batted_in_leaders,405,3,2055
List_of_Major_League_Baseball_career_bases_on_balls_leaders,196,2,1241
List_of_Major_League_Baseball_career_intentional_bases_on_balls_leaders,201,1,1169
List_of_Major_League_Baseball_career_on-base_percentage_leaders,216,2,1577
List_of_Major_League_Baseball_career_slugging_percentage_leaders,202,2,1148
List_of_Major_League_Baseball_career_OPS_leaders,198,2,1216
List_of_Major_League_Baseball_career_times_on_base_leaders,200,1,1238
List_of_Major_League_Baseball_career_total_bases_leaders,197,3,1206
List_of_Major_League_Baseball_career_hit_by_pitch_leaders,209,2,1225
List_of_Major_League_Baseball_career_strikeouts_by_batters_leaders,205,2,1289
List_of_Major_League_Baseball_career_plate_appearance_leaders,203,1,1328
List_of_Major_League_Baseball_career_games_played_leaders,199,2,1254
List_of_Major_League_Baseball_batting_champions,1106,5,14926
List_of_Major_League_Baseball_annual_doubles_leaders,497,2,3368
List_of_Major_League_Baseball_annual_triples_leaders,566,2,3638
List_of_Major_League_Baseball_annual_home_run_leaders,1031,4,11441
List_of_Major_League_Baseball_annual_runs_batted_in_leaders,968,4,10954
List_of_Major_League_Baseball_players_with_a_.400_batting_average_in_a_season,224,1,3261
List_of_Major_League_Baseball_doubles_records#Doubles_in_one_season,245,2,2141
List_of_Major_League_Baseball_single-season_triples_leaders,197,1,1191
50_home_run_club,163,3,3568
List_of_Major_League_Baseball_progressive_single-season_home_run_leaders,149,1,1849
List_of_Major_League_Baseball_single-game_home_run_leaders,175,2,3252
List_of_Major_League_Baseball_single-inning_home_run_leaders,196,1,6353
List_of_Major_League_Baseball_players_to_hit_for_the_cycle,680,2,15385
List_of_Major_League_Baseball_single-game_grand_slam_leaders,116,2,2133
List_of_Major_League_Baseball_single-game_runs_batted_in_leaders,132,1,2742
List_of_Major_League_Baseball_single-inning_runs_batted_in_leaders,166,1,2872
List_of_Major_League_Baseball_single-game_hits_leaders,374,1,14193
Hitting_streak,315,4,2770
List_of_Major_League_Baseball_hit_records,407,4,4646
List_of_Major_League_Baseball_home_run_records,469,2,4924
List_of_Major_League_Baseball_doubles_records,229,2,2141
List_of_Major_League_Baseball_triples_records,268,2,2645
List_of_Major_League_Baseball_runs_batted_in_records,218,1,2430
List_of_Major_League_Baseball_career_runs_scored_leaders,420,2,2137
List_of_Major_League_Baseball_career_stolen_bases_leaders,194,3,1486
List_of_Major_League_Baseball_annual_runs_scored_leaders,407,2,2802
List_of_Major_League_Baseball_annual_stolen_base_leaders,658,5,3099
List_of_Major_League_Baseball_single-game_runs_scored_leaders,115,1,1228
List_of_Major_League_Baseball_runs_records,174,1,3096
List_of_Major_League_Baseball_stolen_base_records,367,1,5142
List_of_Major_League_Baseball_career_wins_leaders,189,2,1403
300-win_club,164,7,2711
List_of_Major_League_Baseball_career_losses_leaders,164,2,1104
List_of_Major_League_Baseball_career_games_started_leaders,167,2,1226
List_of_Major_League_Baseball_career_games_finished_leaders,171,1,1164
List_of_Major_League_Baseball_career_innings_pitched_leaders,162,2,1133
List_of_Major_League_Baseball_career_strikeout_leaders,166,2,1321
3000_strikeout_club,146,6,2086
Hold_(baseball),176,4,1540
List_of_Major_League_Baseball_career_saves_leaders,171,1,1276
300_save_club,149,5,2667
List_of_Major_League_Baseball_career_complete_games_leaders,157,1,1143
List_of_Major_League_Baseball_career_shutout_leaders,102,2,873
List_of_Major_League_Baseball_career_ERA_leaders,155,2,1191
List_of_Major_League_Baseball_career_FIP_leaders,153,1,1131
List_of_Major_League_Baseball_career_WHIP_leaders,154,2,1188
List_of_Major_League_Baseball_career_bases_on_balls_allowed_leaders,153,2,1138
List_of_Major_League_Baseball_career_hit_batsmen_leaders,153,1,1217
List_of_Major_League_Baseball_career_wild_pitches_leaders,149,1,1089
List_of_Major_League_Baseball_career_batters_faced_leaders,148,1,1107
List_of_Major_League_Baseball_annual_wins_leaders,1264,4,11790
List_of_Major_League_Baseball_annual_saves_leaders,657,4,3362
List_of_Major_League_Baseball_annual_shutout_leaders,979,1,3747
List_of_Major_League_Baseball_annual_strikeout_leaders,988,4,11378
List_of_Major_League_Baseball_annual_ERA_leaders,937,4,11098
List_of_Major_League_Baseball_single-season_wins_leaders,102,1,1376
List_of_Major_League_Baseball_single-season_losses_leaders,127,1,1321
300_strikeout_club,193,1,2305
List_of_Major_League_Baseball_no-hitters,1318,2,19929
List_of_Major_League_Baseball_perfect_games,766,2,15168
List_of_Major_League_Baseball_single-game_strikeout_leaders,111,2,3870
List_of_Major_League_Baseball_single-inning_strikeout_leaders,573,2,6840
List_of_Major_League_Baseball_pitchers_who_have_thrown_an_immaculate_inning,701,5,8079
Scoreless_innings_streak,80,1,1432
List_of_Major_League_Baseball_wins_records,238,1,3082
List_of_Major_League_Baseball_career_games_played_as_a_pitcher_leaders,221,1,2882
List_of_Major_League_Baseball_career_games_played_as_a_catcher_leaders,168,1,2363
List_of_Major_League_Baseball_career_games_played_as_a_first_baseman_leaders,177,1,2343
List_of_Major_League_Baseball_career_games_played_as_a_second_baseman_leaders,176,1,2261
List_of_Major_League_Baseball_career_games_played_as_a_third_baseman_leaders,191,1,2466
List_of_Major_League_Baseball_career_games_played_as_a_shortstop_leaders,158,1,2103
List_of_Major_League_Baseball_career_games_played_as_an_outfielder_leaders,187,1,2576
List_of_Major_League_Baseball_career_games_played_as_a_left_fielder_leaders,188,1,2391
List_of_Major_League_Baseball_career_games_played_as_a_center_fielder_leaders,192,1,2476
List_of_Major_League_Baseball_career_games_played_as_a_right_fielder_leaders,185,1,2437
List_of_Major_League_Baseball_career_putouts_leaders,1211,1,14854
List_of_Major_League_Baseball_career_assists_leaders,1192,1,14044
List_of_Major_League_Baseball_career_double_plays_leaders,1146,1,11934
List_of_Major_League_Baseball_career_fielding_errors_leaders,1180,1,9241
List_of_Major_League_Baseball_career_passed_balls_leaders,141,1,1449
List_of_Major_League_Baseball_annual_putouts_leaders,445,1,2936
List_of_Major_League_Baseball_annual_assists_leaders,426,1,2916
List_of_Major_League_Baseball_annual_fielding_errors_leaders,479,1,2958
List_of_Major_League_Baseball_managerial_wins_and_winning_percentage_leaders,258,2,2808
List_of_Major_League_Baseball_managers_with_most_career_ejections,117,1,1031
Triple_Crown_(baseball),408,10,6749
20%E2%80%9320%E2%80%9320_club,54,4,2383
20%E2%80%9350_club,56,1,1431
30%E2%80%9330_club,153,8,3235
40%E2%80%9340_club,113,6,2229
40%E2%80%9340_club#50–50_season,113,6,2229
List_of_Major_League_Baseball_consecutive_games_played_leaders,80,1,2487
List_of_Major_League_Baseball_longest_winning_streaks,212,1,2602
List_of_Major_League_Baseball_longest_losing_streaks,107,1,1965
List_of_Major_League_Baseball_individual_streaks,129,1,3449
List_of_Major_League_Baseball_attendance_records,99,1,3825
List_of_Major_League_Baseball_umpiring_leaders,1067,1,4554
List_of_Major_League_Baseball_career_WAR_leaders,294,1,1988
Chief_Bender,786,9,4659
Bert_Blyleven,1788,12,7306
Ray_Brown_(Negro_leagues_pitcher),559,3,1942
Jim_Bunning,1925,20,10320
Steve_Carlton,1833,12,9329
Jack_Chesbro,952,7,5469
John_Clarkson,1215,9,5206
Andy_Cooper,492,3,2827
Stan_Coveleski,946,11,6003
Leon_Day,476,4,3735
Mart%C3%ADn_Dihigo,823,6,3804
Don_Drysdale,1761,12,8154
Dennis_Eckersley,1604,11,7140
Red_Faber,623,8,3213
Rollie_Fingers,1256,9,7489
Whitey_Ford,1545,13,7004
Bill_Foster_(baseball),473,3,2463
Pud_Galvin,498,8,2126
Tom_Glavine,1215,12,6283
Lefty_Gomez,1080,10,5144
Goose_Gossage,735,6,5297
Burleigh_Grimes,993,8,4098
Lefty_Grove,1346,10,5374
Jesse_Haines,617,7,2746
Roy_Halladay,2159,20,14425
Trevor_Hoffman,1040,9,16727
Waite_Hoyt,931,8,3988
Carl_Hubbell,1450,9,5384
Catfish_Hunter,1270,10,6442
Ferguson_Jenkins,1809,12,7199
Randy_Johnson,1960,24,12259
Addie_Joss,838,11,7122
Jim_Kaat,1992,8,8399
Tim_Keefe,1111,9,4410
Sandy_Koufax,2612,24,21557
Bob_Lemon,1385,9,10129
Ted_Lyons,751,12,3403
Greg_Maddux,1326,16,10324
Juan_Marichal,990,9,7570
Rube_Marquard,785,7,3106
Pedro_Mart%C3%ADnez,2156,16,14754
Joe_McGinnity,1070,6,7168
Jos%C3%A9_M%C3%A9ndez,517,4,3025
Jack_Morris,1164,12,6241
Mike_Mussina,1022,10,7691
Hal_Newhouser,1136,9,9313
Kid_Nichols,836,8,3583
Phil_Niekro,1156,12,6240
Jim_Palmer,1781,12,9280
Herb_Pennock,1076,7,6365
Gaylord_Perry,1554,10,9354
Eddie_Plank,666,7,4354
Charles_Radbourn,819,10,4402
Mariano_Rivera,1855,19,26211
Eppa_Rixey,820,7,4662
Robin_Roberts_(baseball),1322,10,6155
Bullet_Rogan,448,3,3994
Red_Ruffing,1048,8,9067
Amos_Rusie,824,6,4519
Nolan_Ryan,1294,18,11799
CC_Sabathia,1336,16,14048
Tom_Seaver,2283,17,11091
Hilton_Smith,365,2,1815
Lee_Smith_(baseball),795,7,9077
John_Smoltz,1912,12,10251
Warren_Spahn,1068,13,6983
Bruce_Sutter,779,8,5599
Don_Sutton,1506,10,6983
Dazzy_Vance,852,8,4163
Rube_Waddell,977,8,5774
Billy_Wagner,897,5,6288
Ed_Walsh,736,10,3684
Mickey_Welch,477,8,3633
Hoyt_Wilhelm,843,7,6879
Smokey_Joe_Williams,329,1,2174
Vic_Willis,779,6,3331
Early_Wynn,1073,9,12576
Johnny_Bench,2647,11,11830
Yogi_Berra,1252,31,11543
Roger_Bresnahan,691,7,5067
Gary_Carter,1263,11,7902
Mickey_Cochrane,766,10,4657
Bill_Dickey,865,11,5167
Buck_Ewing,637,7,2524
Rick_Ferrell,569,7,4276
Carlton_Fisk,1307,11,9065
Josh_Gibson,714,14,6284
Gabby_Hartnett,752,9,5800
Ernie_Lombardi,758,9,3617
Biz_Mackey,455,2,2635
Joe_Mauer,1210,14,10293
Mike_Piazza,1069,13,7990
Iv%C3%A1n_Rodr%C3%ADguez,866,14,8392
Louis_Santop,327,1,2250
Ray_Schalk,442,7,4139
Ted_Simmons,713,6,4256
Dick_Allen,1124,8,7759
Cap_Anson,873,13,7739
Jeff_Bagwell,1582,11,17716
Jake_Beckley,473,6,2536
Jim_Bottomley,846,11,6095
Dan_Brouthers,880,12,5180
Orlando_Cepeda,1231,15,10058
Frank_Chance,827,8,6331
Roger_Connor,748,9,4756
Jimmie_Foxx,1133,11,7836
Lou_Gehrig,1416,35,14139
Hank_Greenberg,1149,14,10621
Todd_Helton,1357,10,8355
Gil_Hodges,1012,12,9658
George_Kelly_(baseball),701,8,4192
Harmon_Killebrew,866,13,10071
Buck_Leonard,503,5,3935
Willie_McCovey,1304,10,7086
Fred_McGriff,735,7,5318
Johnny_Mize,1000,12,5220
Eddie_Murray,922,12,7697
Tony_P%C3%A9rez,938,11,6805
George_Sisler,848,9,10178
Mule_Suttles,364,1,1952
Ben_Taylor_(first_baseman_born_1888),302,2,1749
Bill_Terry,578,8,4416
Frank_Thomas,1485,11,10979
Jim_Thome,1227,14,12773
Roberto_Alomar,902,10,6803
Craig_Biggio,1023,10,8230
Rod_Carew,1033,10,7757
Eddie_Collins,844,11,4971
Bobby_Doerr,420,14,3902
Johnny_Evers,593,9,5668
Nellie_Fox,452,10,3703
Frankie_Frisch,994,9,5276
Charlie_Gehringer,640,9,7988
Joe_Gordon,889,9,6197
Billy_Herman,508,7,2843
Rogers_Hornsby,1258,16,12133
Nap_Lajoie,1139,9,10865
Tony_Lazzeri,454,11,3732
Bill_Mazeroski,650,12,6437
Bid_McPhee,419,7,2229
Joe_Morgan,2057,13,9714
Ryne_Sandberg,1163,10,7640
Red_Schoendienst,859,9,5170
Home_Run_Baker,667,8,5302
Adri%C3%A1n_Beltr%C3%A9,892,14,9443
Wade_Boggs,817,13,6539
George_Brett,958,11,8168
Jimmy_Collins,640,10,3714
Ray_Dandridge,490,5,2567
Judy_Johnson,326,5,3725
Chipper_Jones,1724,13,12320
George_Kell,1089,10,5002
Freddie_Lindstrom,314,6,4117
Eddie_Mathews,590,11,4338
Paul_Molitor,1287,11,6963
Brooks_Robinson,1275,13,13762
Scott_Rolen,912,7,6207
Ron_Santo,568,11,6887
Mike_Schmidt,1617,10,8135
Pie_Traynor,421,8,3851
Deacon_White,604,7,4249
Jud_Wilson,357,2,2492
Luis_Aparicio,995,11,7127
Luke_Appling,365,9,3503
Dave_Bancroft,386,8,4987
Ernie_Banks,841,17,9401
Lou_Boudreau,1086,12,6014
Joe_Cronin,544,12,5015
George_Davis_(baseball),464,7,3472
Travis_Jackson,321,6,3437
Hughie_Jennings,533,7,4639
Derek_Jeter,2305,28,23273
Barry_Larkin,1590,12,8129
John_Henry_Lloyd,278,3,3089
Rabbit_Maranville,361,6,2899
Cal_Ripken_Jr.,1682,18,17620
Phil_Rizzuto,975,14,9374
Joe_Sewell,583,7,3339
Ozzie_Smith,798,12,9907
Joe_Tinker,525,5,6373
Alan_Trammell,678,9,5658
Arky_Vaughan,506,5,3914
Honus_Wagner,855,20,9081
Bobby_Wallace_(baseball),361,6,2327
John_Montgomery_Ward,883,8,5092
Willie_Wells,297,3,2258
Robin_Yount,662,9,4826
Lou_Brock,1246,11,8327
Jesse_Burkett,416,8,3711
Fred_Clarke,428,7,3287
Ed_Delahanty,1016,9,5201
Goose_Goslin,501,7,5051
Chick_Hafey,388,6,2775
Rickey_Henderson,1103,14,14330
Monte_Irvin,912,10,6349
Joe_Kelley,578,6,5418
Ralph_Kiner,790,11,5455
Heinie_Manush,370,6,6344
Joe_Medwick,667,7,4731
Minnie_Mi%C3%B1oso,1014,7,8629
Jim_O%27Rourke_(baseball),431,8,2755
Tim_Raines,1215,9,8124
Jim_Rice,1182,12,7148
Al_Simmons,447,10,3726
Willie_Stargell,1230,13,8270
Zack_Wheat,317,6,3341
Billy_Williams,689,10,5323
Richie_Ashburn,982,10,5792
Earl_Averill,328,10,2400
Cool_Papa_Bell,369,7,4309
Willard_Brown,340,5,3417
Max_Carey,392,8,3747
Oscar_Charleston,313,7,5402
Earle_Combs,414,7,3486
Hugh_Duffy,752,8,4555
Ken_Griffey_Jr.,1525,23,14126
Billy_Hamilton_(baseball_born_1866),707,9,3468
Pete_Hill,252,3,2337
Mickey_Mantle,1406,30,15224
Kirby_Puckett,1080,14,7269
Edd_Roush,395,7,4530
Duke_Snider,828,11,5618
Tris_Speaker,673,14,7963
Turkey_Stearnes,224,2,4159
Crist%C3%B3bal_Torriente,326,1,2999
Lloyd_Waner,211,5,3056
Hack_Wilson,494,8,6746
Roberto_Clemente,920,22,11039
Sam_Crawford,531,8,5259
Kiki_Cuyler,344,7,4464
Andre_Dawson,1382,9,7946
Elmer_Flick,460,8,4790
Vladimir_Guerrero,1001,15,8726
Tony_Gwynn,1567,13,28541
Harry_Heilmann,382,8,9608
Harry_Hooper,390,10,4374
Reggie_Jackson,1799,17,16086
Al_Kaline,616,13,6430
Willie_Keeler,380,10,3931
King_Kelly,447,9,6997
Chuck_Klein,918,8,5736
Tommy_McCarthy_(baseball),305,4,2618
Tony_Oliva,885,7,6186
Mel_Ott,448,11,5425
Dave_Parker,949,8,5905
Sam_Rice,283,8,3841
Frank_Robinson,2313,16,13865
Enos_Slaughter,449,7,3961
Ichiro_Suzuki,1591,50,19329
Sam_Thompson_(outfielder),462,9,6615
Larry_Walker,1685,10,20338
Paul_Waner,433,9,5646
Dave_Winfield,1780,11,10016
Ross_Youngs,217,6,3711
Harold_Baines,495,8,4886
Edgar_Mart%C3%ADnez,686,12,8099
Walter_Alston,682,9,7456
Sparky_Anderson,1094,10,7801
Bobby_Cox,835,12,6850
Rube_Foster,207,3,3980
Ned_Hanlon_(baseball),518,6,8980
Bucky_Harris,699,7,6052
Whitey_Herzog,699,9,6491
Miller_Huggins,582,9,7611
Tony_La_Russa,912,10,11297
Tommy_Lasorda,1284,13,9136
Jim_Leyland,666,4,5022
Al_L%C3%B3pez,321,9,5675
Connie_Mack,569,11,9465
Joe_McCarthy_(baseball_manager),752,6,5517
John_McGraw,848,10,15113
Bill_McKechnie,658,4,5440
Wilbert_Robinson,309,9,4818
Frank_Selee,308,2,3399
Billy_Southworth,645,3,5536
Casey_Stengel,1012,12,19019
Joe_Torre,1880,16,16038
Earl_Weaver,681,7,9739
Dick_Williams,759,5,10127
Ed_Barrow,475,4,5488
Morgan_Bulkeley,364,12,6889
Alexander_Cartwright,169,15,3056
Henry_Chadwick_(writer),96,8,3296
Charles_Comiskey,355,9,3641
Candy_Cummings,93,6,2607
Barney_Dreyfuss,239,6,3348
Bud_Fowler,96,3,2541
Ford_Frick,139,5,3248
Warren_Giles,337,4,3071
Pat_Gillick,655,3,4520
Frank_Grant_(baseball),101,3,1773
Clark_Griffith,707,6,7119
Will_Harridge,57,4,1398
William_Hulbert,142,4,2329
Bowie_Kuhn,183,6,4734
Larry_MacPhail,286,4,2967
Lee_MacPhail,288,5,2726
Effa_Manley,91,6,2792
Marvin_Miller,129,7,5396
Buck_O%27Neil,175,5,5054
Alex_Pompez,75,4,1606
Cumberland_Posey,603,5,3083
Jacob_Ruppert,344,6,4936
John_Schuerholz,235,1,2475
Bud_Selig,238,5,7685
Albert_Spalding,505,13,4739
Bill_Veeck,637,4,7275
George_Weiss_(baseball),309,2,3818
Sol_White,152,3,3747
J._L._Wilkinson,80,2,1637
George_Wright_(sportsman),212,6,3380
Harry_Wright,327,4,4425
Tom_Yawkey,272,1,5419
Al_Barlick,76,3,2710
Nestor_Chylak,72,3,1889
Jocko_Conlan,74,5,2026
Tom_Connolly_(umpire),81,2,1819
Billy_Evans,152,4,3415
Doug_Harvey_(umpire),89,6,2449
Cal_Hubbard,986,9,4624
Bill_Klem,82,2,2486
Bill_McGowan,48,3,1373
Hank_O%27Day,218,4,5537
Honor_Rolls_of_Baseball,145,1,3335
1946_Baseball_Hall_of_Fame_balloting#Honor_Rolls_of_Baseball,214,1,5255
Ernest_Barnard,59,1,837
John_E._Bruce,79,1,1419
John_T._Brush,134,3,1945
Charles_Ebbets,127,4,3815
August_Herrmann,129,1,1307
John_Heydler,42,1,860
Bob_Quinn_(baseball_born_1870),134,1,1608
Arthur_Soden,106,1,1428
Nicholas_Young_(executive),44,2,867
Bill_Carrigan,267,1,2719
Bill_Dinneen,172,2,2101
Bob_Emslie,193,1,1913
John_Gaffney,41,1,1599
Tim_Hurst,94,1,1127
Kick_Kelly,77,1,1379
Thomas_Lynch_(baseball_executive),30,1,646
Silk_O%27Loughlin,33,1,1637
Jack_Sheridan_(umpire),47,1,1803
Walter_Barnes_(sportswriter),23,1,556
Harry_Cross_(sportswriter),38,1,827
William_B._Hanna,30,2,787
Sid_Mercer,102,1,796
Tim_Murnane,157,1,1713
Francis_Richter,18,3,1409
Sy_Sanborn,30,1,1063
John_B._Sheridan,16,1,625
William_J._Slocum,7,1,1660
Joe_Vila,33,2,1058
1965_Major_League_Baseball_draft,360,3,3208
1966_Major_League_Baseball_draft,134,3,846
1967_Major_League_Baseball_draft,162,3,992
1968_Major_League_Baseball_draft,153,3,854
1969_Major_League_Baseball_draft,162,3,946
1970_Major_League_Baseball_draft,153,3,923
1971_Major_League_Baseball_draft,158,3,1059
1972_Major_League_Baseball_draft,158,3,1044
1973_Major_League_Baseball_draft,157,3,1080
1974_Major_League_Baseball_draft,158,3,1030
1975_Major_League_Baseball_draft,125,3,894
1976_Major_League_Baseball_draft,145,3,1040
1977_Major_League_Baseball_draft,157,3,1115
1978_Major_League_Baseball_draft,226,3,1281
1979_Major_League_Baseball_draft,164,3,1123
1980_Major_League_Baseball_draft,157,3,1186
1981_Major_League_Baseball_draft,169,2,1365
1982_Major_League_Baseball_draft,172,2,1519
1983_Major_League_Baseball_draft,165,2,1332
1984_Major_League_Baseball_draft,163,2,1200
1985_Major_League_Baseball_draft,184,2,1643
1986_Major_League_Baseball_draft,220,2,1909
1987_Major_League_Baseball_draft,798,4,4981
1988_Major_League_Baseball_draft,177,2,1362
1989_Major_League_Baseball_draft,178,2,1387
1990_Major_League_Baseball_draft,227,2,2257
1991_Major_League_Baseball_draft,232,2,1913
1992_Major_League_Baseball_draft,278,2,2524
1993_Major_League_Baseball_draft,202,3,1729
1994_Major_League_Baseball_draft,245,3,1667
1995_Major_League_Baseball_draft,185,2,1713
1996_Major_League_Baseball_draft,243,2,2217
1997_Major_League_Baseball_draft,305,2,2382
1998_Major_League_Baseball_draft,258,2,2090
